title,body,source
Trump administration sues California for banning federal agents from wearing face coverings,"The Department of Justice is suing California over two recently enacted laws that would prohibit federal agents from wearing facial coverings and require them to identify themselves while conducting their duties. The lawsuit argues California's laws violate the Constitution's Supremacy Clause, under which federal laws take precedence over state laws. The Trump administration also claims the laws threaten the safety of federal officers. The federal government said in court documents it ""does not intend to comply.""

""Today we filed a lawsuit to strike down California's unconstitutional law aimed at unmasking the faces of our federal agents, which will allow criminals to dox them,"" Bill Essayli, the top federal prosecutor in Los Angeles, wrote on X.",CBS News
Trump Administration Asks Court to Block California Ban on Masked Agents,"The Trump administration has filed a lawsuit against Gov. Gavin Newsom, challenging a California law he recently signed that prohibits law enforcement officers from wearing masks, a practice that became common this year amid the president's immigration crackdown. The suit claims that the mask ban, and a companion measure requiring federal agents to wear identification, are unconstitutional because states do not have the power to regulate federal agencies. It says federal law enforcement agencies will not comply with the pair of state laws, which take effect on Jan.",The New York Times
DOJ sues to stop California's anti-ICE no-masking law,"The Trump Justice Department filed a lawsuit Monday to stop California's new law that seeks to ban federal immigration officers from wearing masks to conceal their identities, saying the government ""does not intend to comply.""

Trump officials cast the state law as an illegal attempt to undermine federal immigration enforcement powers, and said it puts agents and their families at risk by exposing their identities to dangerous people. The law, signed by Gov. Gavin Newsom and cheered by anti-ICE activists nationwide, is slated to take effect in January. Mr.",Washington Times
Trump threatens to move 2026 World Cup matches at 'sign of any trouble',"USA TODAY Sports' Safid Deen breaks down the latest comments from President Donald Trump regarding FIFA World Cup venues and his concerns over safety. United States President Donald Trump reiterated his threat to move 2026 World Cup matches from cities with Democratic mayors and crime problems during a news conference in conjunction with an Oval Office meeting of the White House's FIFA Task Force on Monday, November 17. FIFA president Gianni Infantino also did not completely rule out the possibility after a reporter asked Trump about Seattle's new Democratic Socialist mayor-elect Katie Wilson, and whether her agenda and pre-existing crime issues there, could affect the city hosting six World Cup games at Lumen Field next year. It prompted Trump to again suggest World Cup matches at United States venues could be changed if the administration is concerned about safety at the game site.",USA Today
White House mocked over 'complete failure' to sell Trump's 'sham marriage' on social media,"U.S. first lady Melania Trump relays a reporter's question to President Donald Trump. REUTERS/Brian Snyder

As experts and internet sleuths worked to dissect and decipher the explosive emails released last week by the U.S. House Oversight Committee from estate of deceased sex trafficker Jeffrey Epstein referencing President Donald Trump, the White House, reports The Poke, was working hard to change the narrative.",Raw Story
Trump threatens World Cup host cities over 'safety' concerns as White House announces visa scheme for fans,"FIFA secured a concession from the White House as President Donald Trump announced that match ticket-holders for next summer's World Cup will have access to advanced appointments for tourist visas at U.S. overseas consulates - but FIFA's respite was short-lived as Trump warned host cities including Seattle and Los Angeles may be in danger of having their games relocated due to ""safety"" concerns. In an extraordinary conference alongside FIFA President Gianni Infantino in the Oval Office, in which the World Cup trophy took pride of place, Trump also said he would be prepared to launch ""strikes"" on 2026 World Cup co-hosts Mexico due to concerns about drug trafficking. Trump and Infantino were joined by Secretary of State Marco Rubio and Secretary of Homeland Security Kristi Noem.",The New York Times
Gavin Newsom preens in Brazil  --  while California drowns at home,"Gov. Gavin Newsom is prancing around abroad while Californians suffer through a natural disaster -- and not for the first time. The well-coiffed presidential hopeful has a habit of being out of the state during major storms. In 2023, he left during a deadly blizzard for a vacation in Mexico.",New York Post
Ezra Klein's private briefing with Senate Dems raises internal...,"Ezra Klein's appearance at a private retreat for Senate Democrats earlier this year triggered internal concerns at the New York Times over whether the star columnist was edging too close to partisan politics, according to a report. Sources familiar with the situation told Axios that concerns were raised within the newspaper -- which has ""typically has frowned on such actions by its journalists, even opinion columnists,"" Axios reported -- following his remarks at the one-day retreat in Mount Vernon, Va., in May. He reportedly gave lawmakers a private briefing shortly after the release of his bestselling book ""Abundance,"" which ""challenges liberals to create a more dynamic and prosperous society by cutting regulations and embracing new technologies,"" as Axios put it. Klein's invite to the retreat came as he's gained influence among both lefty audiences and progressive officeholders -- many of whom view the policy proposals in ""Abundance"" as a blueprint to recapture the White House and Congress.",New York Post
AI industry-backed super PAC targets New York Democrat in opening shot of midterms,"A bipartisan super PAC launched by a slew of artificial intelligence leaders has picked its first target: a Democratic congressional candidate who helped lead an effort to put safety measures on the AI industry. Alex Bores, a New York State Assemblymember, has pushed ""ideological and politically motivated legislation"" that would ""handcuff"" the nation's edge on AI, the heads of the ""Leading the Future"" PAC said in a statement Monday morning. Bores, who is running to represent New York's 12th Congressional District, co-sponsored the RAISE Act, a New York state-level bill that requires the largest AI companies to publish safety protocols for serious misuse use of their tech, such as creating biological weapons or carrying out other criminal activity. The legislation, short for ""Responsible AI Safety and Education,"" also forces companies to disclose serious incidents, or else face civil penalties from the state attorney general.",CNBC
Trump targets red state Republican lawmakers in push for congressional redistricting,"'The Big Weekend Show' panel discuss California Gov. Gavin Newsom's victory lap after the state passed Prop 50, which is expected to add more Democratic representation. President Donald Trump is turning up the heat on Indiana Republicans who have been resisting political pressure from the president to move forward with congressional redistricting. Trump on Monday, for a second straight day, vowed to back primary challenges against state Republican lawmakers in the solidly red Midwestern state who didn't support his push to draw new maps in Indiana, which would create another GOP-leaning congressional district.",Fox News
Opinion | California's wealth-tax test,"California Gov. Gavin Newsom (D) in Brazil last week for the COP30 U.N. Climate Summit. (Fernando Llano/AP)

California Gov.",Washington Post
"Stephen A Smith calls out AOC, Schumer, Newsom for ignoring...",Podcast host Stephen A. Smith claimed that high-profile Democrats like Rep. Alexandria Ocasio-Cortez and California Gov. Gavin Newsom have been ignoring invitations to appear on his show.,New York Post
"Stephen A. Smith calls out AOC, Schumer, and Newsom for avoiding his show",Podcast host Stephen A. Smith asked why high-profile Democrats like Alexandria Ocasio-Cortez and California Gov. Gavin Newsom have not appeared on his show. Podcast host Stephen A.,Fox News
"Pentagon withdraws some National Guard troops from Chicago and Portland, officials say","Food assistance benefits halt Nov. 1 due to the government shutdown, prompting National Guard aid at LA food banks. WASHINGTON -- The Pentagon is withdrawing some National Guard troops from Chicago and Portland, Oregon, weeks after President Donald Trump deployed them to combat what he described as increased crime, two U.S. defense officials familiar with the decision said on Sunday, Nov.",USA Today
Trump Live Updates: Marjorie Taylor Greene Says She Supports President Despite His Criticisms Over Epstein Files,"Some 200 California National Guard troops who were sent to Portland and another 200 Texas National Guard members who were sent to Chicago will return to their home states beginning as early as Sunday, said the officials, who spoke on the condition of anonymity to discuss the deployments. The federalized Guard troops arrived in those cities in early October but never deployed into the streets to assist federal law enforcement personnel and protect federal buildings, as the Trump administration envisioned, because of legal challenges that continue to play out in the courts. With Thanksgiving and Christmas fast approaching and federal court orders putting a hold on the operational deployment of the Guard, top Pentagon officials decided last week to withdraw the out-of-state soldiers, at least for now, rather than have them continue to sit in a costly limbo separated from their families during the holiday season, one U.S. official said.",The New York Times
California yanks illegal immigrants' trucker's licenses; Newsom says migrant status not a factor,"California has moved to cancel licenses of 17,000 commercial drivers after a back-and-forth with the Trump administration, which is pushing to get what it calls ""dangerous foreign drivers"" off U.S. roads. Transportation Secretary Sean Duffy announced the cancellations last week, saying California had finally bowed to pressure to kick people the feds say are illegal immigrants off the roads. Gov.",Washington Times
"Pritzker, Newsom visit Texas, praise House Democrats who broke quorum to fight against redistricting","Two high-profile Democrats visited the Lone Star State recently and credited Democrats in the Texas House for igniting a nationwide redistricting battle. Illinois Governor JB Pritzker addressed 650 people at the Dallas County Democratic Party's Johnson Jordan Dinner last Monday. Democratic lawmakers from Texas travelled to Chicago over the summer as they broke quorum, delaying a vote by House Republicans to add five Congressional seats. ""By breaking quorum, you ignited our victories, and you showed us how to fight and win in 2026,"" Pritzker told Democrats.",CBS News
"Comedian Jeff Dye joins Hollywood exodus, says Newsom 'scares the...","Comedian Jeff Dye is joining the growing wave of entertainers leaving Los Angeles behind. During a Nov. 2 appearance on ""The Joe Rogan Experience,"" the 42-year-old ""The Wedding Year"" alum revealed he was buying a house in Texas after becoming deeply concerned by the direction California was taking under the leadership of Gov. Gavin Newsom.",New York Post
"Comedian Jeff Dye joins Hollywood exodus, says LA fires were 'quite a wake-up call'","The host and comedian talks about the half hour game show where contestants guess the identities of celebrities by uncovering obscured images of them. Comedian Jeff Dye is joining the growing wave of entertainers leaving Los Angeles behind. During a Nov. 2 appearance on ""The Joe Rogan Experience,"" the 42-year-old ""Modern Family"" alum revealed that he was buying a house in Texas after becoming deeply concerned by the direction that California was taking under the leadership of Gov.",Fox News
Climate protesters march on COP30 with costumes and drums demanding to be heard,"Some wore black dresses to signify a funeral for fossil fuels. Hundreds wore red shirts, symbolizing the blood of colleagues fighting to protect the environment. And others chanted, waved huge flags or held up signs Saturday in what's traditionally the biggest day of protest at the halfway point of annual United Nations climate talks. Organizers with booming sound systems on trucks with raised platforms directed protesters from a wide range of environmental and social movements.",CBS News
"The BBC's shameful edit and more: Letters to the Editor  --  Nov. 16,...","I was born and raised in the United Kingdom when everyone had complete faith and trust in the BBC as an impartial broadcaster. Sadly, I have witnessed its decline into a mouthpiece for the left (""Edited out at BBC,"" Nov. 10). The old guard was replaced by a younger generation that has no qualms in pushing its own views on the public.",New York Post
Charlotte braces for federal immigration enforcement as murder rate rises 200% in uptown area,"U.S. Attorney General Pam Bondi explains why the Department of Justice sued California Gov. Gavin Newsom and how the legal system handles alleged 'sanctuary cities' on 'Hannity.'

Federal agents from U.S. Customs and Border Protection are expected to arrive in the Charlotte area within days, local officials confirmed this week amid growing friction between Washington's immigration enforcement priorities and Democratic-run cities.",Fox News
The Trump administration didn't send a delegation to COP30. How the US is maintaining a presence at the climate summit,"The United States is maintaining a presence at COP30, despite the Trump administration declining to send an official delegation to the climate conference in Brazil. This is the first time since the inaugural Conference of the Parties (COP) to the United Nations Framework Convention on Climate Change (UNFCCC) in 1995 that the U.S. will not be officially represented at the annual climate summit. However, a large number of state and local representatives -- as well as environmental nonprofits based in the U.S.",ABC News
Bill Maher encourages young men to drink more and get out of their parents' basement,"'Real Time' host Bill Maher and bestselling author Scott Galloway make the case that young men should drink more. ""Real Time"" host Bill Maher made the case that young men should drink more during a spirited conversation about rejection, friendships and relationships with the bestselling author of ""Notes on Being a Man,"" a book that sounds the alarm on male loneliness. On Friday, the late-night host praised author and NYU professor Scott Galloway for calling drinking a ""lubricant"" to socializing. ""It's not to excess, but yes, drinking a little bit - maybe sometimes a little too much when you're an adolescent - is probably better than sitting in that basement,"" Maher agreed.",Fox News
"California pulls 17,000 immigrant CDLs after discovering drivers' legal U.S. stay expired","California is pulling 17,000 commercial driver's licenses given to immigrants. This comes following the discovery that the expiration dates on the licenses had passed the drivers' legally allotted time to stay in the U.S. The federal government says California issued them illegally, while the state says the feds are overreaching. Now, some people in the trucking industry say they're the ones caught in the middle.",CBS News
"Co-conspirators charged in California political fraud case, accused of stealing campaign funds","Two high-ranking men in California politics were arraigned on felony conspiracy charges in federal court on Friday. There are five co-conspirators in the bombshell case of political corruption and fraud. Gov. Gavin Newsom's former chief of staff, Dana Williamson, was the first to be charged on Wednesday, indicted on 23 fraud-related charges.",CBS News
Gavin Newsom's pathetic reasons for pulling SOME illegal truckers'...,"Gov. Gavin Newsom's critics took a victory lap this week when California revoked 17,000 Commercial Drivers Licenses it had issued to migrant truck drivers whose legal permission to be in the United States ended before the CDLs' expiration dates. Yet the Golden State may still be defying federal law: Transportation Secretary Sean Duffy called the 17,000 the ""tip of the iceberg,"" warning that Team Trump will keep investigating Cali for issuing CDLs to illegal migrants or to drivers who flunked English proficiency exams. Case in point: Video seems to show Harjinder Singh ignoring signs barring a U-turn on the Florida Turnpike before the deadly crash that killed three in August.",New York Post
"Gavin discovers men, Canada's tortured talk on killing and other...","California Gov. Gavin Newsom told CNN Democrats ""ceded ground"" on the ""struggles"" of young men and ""it has cost them electorally."" Michael Bahareen at UnHerd agrees: ""Democrats, especially liberal Democrats, often seem uncomfortable speaking to the plight of men."" Newsom seeks to address how men are ""now falling behind women"" in many areas, but many Democrats still believe that ""men remain widely more 'privileged' than women"" and that ""traditional masculinity"" is ""problematic."" Newsom warns: ""We can't afford, from an electoral perspective, to lose these folks."" Cautions Bahareen: Newsom provides ""a good model for other Democrats"" by meeting ""young men where they are"" and showing ""he cares about them"" -- but that won't do much unless you ""offer them more than just words.""

From the left: Canada's Tortured Talk on Killing

""Linguistic tap-dancing"" around the killing of 300 diseased ostriches in Canada would've been ""less unnerving,"" suggests Racket's Matt Taibbi, had it not so clearly echoed ""Canada's aggressive word-twisting during the Covid pandemic,"" as well as its ""more recent literary inventions around the country's euthanasia craze."" In 2021, Canada ""opened the door on mass Kevorkianism"" by increasing eligibility for assisted suicide to include people with a ""grievous and irremediable medical condition,"" as opposed to the imminently dying. ""In a flash, assisted suicide"" became one of Canada's leading causes of death. Now, as ""moral arguments against suicide have mostly vanished,"" Canada is ""scheduled to begin allowing euthanasia/suicide/assisted dying for people suffering from mental illness only.""

Shutdown journal: The Dems' Real 'Base'

""A government shutdown, as Clausewitz didn't quite say, is the continuation of politics by other means,"" snarks The Wall Street Journal's Barton Swaim.",New York Post
"Rogan and Carolla shred Newsom, say he should blame Palisades fire on bad management, not climate change","Comedian and podcaster Joe Rogan and Adam Carolla slammed California Gov. Gavin Newsom for his management of California, arguing it was absurd for him to blame climate change for the deadly Palisades wildfires instead of bad management. Joe Rogan and comedian Adam Carolla criticized California Gov. Gavin Newsom Friday for his rhetoric about climate change, arguing he should blame the Palisades wildfires on poor management by local leaders instead.",Fox News
Business groups ask Supreme Court to pause California climate reporting laws in emergency appeal,"WASHINGTON (AP) -- The U.S. Chamber of Commerce asked the Supreme Court on Friday to pause new California laws expected to require thousands of companies to report emissions and climate-risk information. The laws are the most sweeping of their kind in the nation, and a collection of business groups argued in an emergency appeal that they violate free-speech rights. The measures were signed by Democratic Gov.",Boston Herald
Court blocks new rules limiting which immigrants can get commercial drivers' licenses,"The Transportation Department's new restrictions that would severely limit which immigrants can get commercial driver's licenses to drive a semitrailer truck or bus have been put on hold by a federal appeals court. The court in the District of Columbia ruled Thursday that the rules Transportation Secretary Sean Duffy announced in September a month after a truck driver not authorized to be in the U.S. made an illegal U-turn and caused a crash in Florida that killed three people can't be enforced right now. The court said the federal government didn't follow proper procedure in drafting the rule and failed to ""articulate a satisfactory explanation for how the rule would promote safety."" The court said the Federal Motor Carrier Safety Administration's own data shows that immigrants who hold these licenses account for roughly 5% of all commercial driver's licenses but only about 0.2% of all fatal crashes, the court said.",Washington Times
Kimberly Guilfoyle dishes about ex-hubby Gavin Newsom to Greek TV...,"Newly-minted US Ambassador to Greece Kimberly Guilfoyle revealed Thursday she still has a great relationship with her ex-husband, California Gov. Gavin Newsom, during her first interview as a diplomat this week. Guilfoyle, who was previously engaged to Donald Trump Jr., briefly touched on Newsom and also businessman Eric Villency, her second husband before they split, as she described herself as a loyal person who can always be counted, according to a report. The topic of exes came up after a reporter with the Greek station ANT1 brought up divorce during Guilfoyle's first sit-down in her new role.",New York Post
Opinion | The Trump administration is working overtime to burn the world faster,"Jay Inslee: Trump and Zeldin turn EPA into 'Environmental Pollution Agency' by revoking climate rule

Presidents, politicians, diplomats and scientists descended on Brazil this week to open the international climate summit known as COP30. Although California's governor made headlines with his remarks, there is no official U.S. delegation, marking the first time that the world's largest economy -- and historically the world's largest carbon emitter -- has refused to participate in global efforts to reduce the harm of climate change. On one level, America skipping out on the multilateral talks places a ceiling on just how much effect any commitments made at the conference will have on reducing carbon emissions globally.",MSNBC.com
Newsom pushes climate record abroad as Californians shoulder America's highest gas costs,"Fox News anchor John Roberts speaks with strategist Katie Zacharia and commentator Natalie Beisner about California Governor Gavin Newsom's climate plans and the effects of high energy prices on 'America Reports'. California Gov. Gavin Newsom is in the midst of touting his state's leadership on energy policies while in Brazil for a United Nations climate conference, while Golden State residents pay the highest gas prices in the nation that are largely attributable to state regulations. ""While climate change may not resonate, I think affordability matters,"" Newsom said in an interview with the San Francisco Chronicle earlier in November ahead of his trip to Brazil.",Fox News
"Millions under flood watches, evacuation orders in place as Southern California burn scar areas brace for storm","Rainfall rates could reach 1 inch per hour in parts of Southern California. Over 22 million people in Southern California are under a flood watch as a West Coast storm could slam burn scar areas, bringing potential mudslides, debris flows and excessive rainfall. Evacuation warnings are now in place through Friday evening for the following burn scar areas: Canyon, Bethany, Eaton, Palisades, Hurst, Kenneth, Sunset, Lidia, Franklin and Bridge, according to Los Angeles County officials. ""Anyone in these areas should be ready to leave at a moment's notice,"" county officials said.",ABC News
Anti-Trump network behind mass protests cracks open war chest against Dems who backed reopening government,"VA Secretary Doug Collins joins 'Fox & Friends First' to discuss how the shutdown is impacting the Department of Veterans Affairs and mark the 250th anniversary of the U.S. Marines. A left-wing group behind the massive ""No Kings"" protests targeting President Donald Trump and his administration launched its largest primary undertaking: targeting Senate Democrats who joined Republicans to reopen the government. ""This is no longer about them - it's about us.",Fox News
These California counties won by Trump in 2024 supported Prop. 50 in the special election. Here's what to know,"Richard Ramos is a web producer for CBS Sacramento who was born and raised in Sacramento. He graduated with a BA in Journalism from CSUS. A majority of voters in seven California counties won by President Trump in 2024 also supported Proposition 50 in a special election earlier this month, helping pass the redistricting measure championed by Gov. Gavin Newsom and legislative Democrats.",CBS News
Newsom's sanctuary policies under fire after drunk illegal immigrant kills elderly man,"President Donald Trump criticizes California Governor Gavin Newsom for his leadership and more on 'The Ingraham Angle.'

After a 71-year-old California man was killed in a hit-and-run involving an illegal alien driving under the influence, the Trump Department of Homeland Security asked: ""How many Americans must be killed before [Gov. Gavin Newsom]'s sanctuary state of California works with federal law enforcement -- instead of against them?""

Mexican illegal Humberto Munoz-Gatica, 57, was driving under the influence when he struck 71-year-old Barry William Tutt in Orange County, California, last Friday, according to a Homeland Security statement. Munoz-Gatica left the scene after the collision and was later located with the help of witnesses and arrested, according to a statement by the Orange County Sheriff's Department. He is now facing charges related to hit-and-run and suspicion of driving under the influence.",Fox News
"What is Donald Trump's approval rating? See state comparisons in New Jersey, Virginia","President Donald Trump reacted to the 2025 election by piling on the communist accusations about Zohran Mamdani. See what they had to say. * President Donald Trump has a net positive approval rating in 24 states, according to a Morning Consult poll. * National polling aggregators show Trump's approval rating is net negative and has recently dropped to a term low.",USA Today
Conservative Media Picks an Epstein Story Line and Sticks to It,"Right-wing outlets have focused on a single redacted name in the 23,000 pages of correspondence related to Jeffrey Epstein that were released on Wednesday. Right-wing media had a similar first response to new emails tying President Trump to the convicted sex offender Jeffrey Epstein: thunderous silence. For hours, Fox News made nary a mention of the tranche, whose contents suggested, among other things, that the president knew more about the abuses perpetrated by Mr. Epstein, a former friend, than he had admitted.",The New York Times
"Newsom's ex-aide indicted on corruption, fraud charges. Here's what to know about the case.","SACRAMENTO, Calif. -- California Gov. Gavin Newsom's former chief of staff was arrested and indicted on federal corruption charges this week, roughly a year after she disclosed the investigation to Newsom's office and was placed on leave. Dana Williamson is accused of helping in a scheme to steal campaign money from former federal Health Secretary Xavier Becerra, filling fraudulent tax forms for personal expenses and making false statements to law enforcement.",ABC News
